ID_Equipo,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision,Tipo_Mantenimiento,Quincena,Costo_Mantenimiento,Temperatura_C,Vibracion_mm_s,Horas_Operativas,horas_hasta_correctivo
1,0,0,8,432.0,657.0,0,1,94391.0,94.26423184026834,9.86245371149401,160.82142857142858,496.17857142857144
1,0,0,8,432.0,657.0,0,2,239363.0,97.82389255397383,9.93161536588964,77.14117647058823,579.8588235294118
1,0,0,8,432.0,657.0,0,3,10184.0,89.52538055529695,6.229608371291796,150.25,506.75
1,0,0,8,432.0,657.0,1,1,341679.0,99.99831350645256,9.982757983297049,1303.188790560472,-646.188790560472
1,0,0,8,432.0,657.0,1,2,309888.0,99.82502773689816,9.976351054200036,1414.3094462540716,-757.3094462540716
1,0,0,8,432.0,657.0,1,3,12526.0,93.56085554540796,9.7201703945531,1425.375,-768.375
2,0,0,8,432.0,657.0,1,1,13050.0,94.5945719741972,9.795655391094424,796.2,-139.2
2,0,0,8,432.0,657.0,1,2,5220.0,90.50280836874288,8.53519033468569,915.0,-258.0
2,2,1,2,393.0,522.0,0,1,163670.0,97.9670970318713,9.976694493097046,73.63934426229508,448.3606557377049
2,2,1,2,393.0,522.0,0,2,205898.0,96.66602233794652,9.969722386469815,97.61428571428571,424.3857142857143
2,2,1,2,393.0,522.0,0,3,7785.0,42.23367828761439,8.968574860591525,159.0,363.0
2,2,1,2,393.0,522.0,1,1,370932.0,99.98823647638984,9.997253537547362,2971.8077519379844,-2449.8077519379844
2,2,1,2,393.0,522.0,1,2,367519.0,99.99199530669826,9.981763285066656,2930.392464678179,-2408.392464678179
2,2,1,2,393.0,522.0,1,3,14337.0,99.81534308158368,9.91404146414517,2920.230769230769,-2398.230769230769
3,2,1,2,393.0,522.0,1,1,11475.0,98.52282478648,8.575834791118897,193.66666666666666,328.3333333333333
3,2,1,2,393.0,522.0,1,2,11475.0,94.62871627319124,9.95917332210216,377.6666666666667,144.33333333333334
3,2,1,2,393.0,522.0,1,3,765.0,25.069957522866662,0.4613687851767434,493.0,29.0
3,3,2,7,398.0,885.0,0,1,224219.0,98.55245052915517,9.941670834335328,154.88983050847457,730.1101694915254
3,3,2,7,398.0,885.0,0,2,234019.0,99.86999116923737,9.91200282862792,150.9099099099099,734.0900900900901
3,3,2,7,398.0,885.0,0,3,12270.0,98.63618473476802,9.91257349888867,158.57142857142858,726.4285714285714
3,3,2,7,398.0,885.0,1,1,309496.0,99.72040123861584,9.998278731884644,1085.5383304940374,-200.53833049403747
3,3,2,7,398.0,885.0,1,2,305418.0,99.81257225802769,9.991604945240482,1173.4234693877552,-288.4234693877551
3,3,2,7,398.0,885.0,1,3,10384.0,97.81693557770804,8.94698636299633,1284.95,-399.95
4,0,3,4,121.0,668.0,0,1,374568.0,99.92226685651843,9.94090268702437,109.39252336448598,558.607476635514
4,0,3,4,121.0,668.0,0,2,268766.0,98.41127805848518,9.926813795355484,131.05479452054794,536.945205479452
4,0,3,4,121.0,668.0,0,3,10342.0,81.8096190735742,4.947599745703196,163.25,504.75
4,0,3,4,121.0,668.0,1,1,313132.0,99.97206231178166,9.991503687752218,1516.3578595317726,-848.3578595317725
4,0,3,4,121.0,668.0,1,2,339373.0,99.98881712053137,9.99621048051711,1528.9350237717908,-860.9350237717908
4,0,3,4,121.0,668.0,1,3,13752.0,95.77930454012171,8.466002474280584,1636.5,-968.5
4,3,2,7,398.0,885.0,1,1,10950.0,96.05933770271152,9.947667695457543,457.46666666666664,427.53333333333336
4,3,2,7,398.0,885.0,1,2,6570.0,86.05286561794222,7.168652508193562,577.5555555555555,307.44444444444446
