ID_Equipo,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision,Tipo_Mantenimiento,Quincena,Costo_Mantenimiento,Temperatura_C,Vibracion_mm_s,Horas_Operativas,horas_hasta_correctivo
1,0,2,6,173.0,913.0,0,1,1167888.0,99.43801080586805,9.995978791703848,114.41935483870968,798.5806451612904
1,0,2,6,173.0,913.0,0,2,1098304.0,99.84107209437528,9.995754567668044,119.94369973190348,793.0563002680965
1,0,2,6,173.0,913.0,0,3,49779.0,99.86535451470684,9.44618314058936,92.05263157894737,820.9473684210526
1,0,2,6,173.0,913.0,1,1,125154.0,98.81609042042396,9.985130905057977,496.31182795698925,416.68817204301075
1,0,2,6,173.0,913.0,1,2,165676.0,99.73486601905208,9.966471116600514,504.1466275659824,408.8533724340176
1,0,2,6,173.0,913.0,1,3,4728.0,93.50272349169587,9.69851025255673,632.2222222222222,280.77777777777777
2,0,2,6,173.0,913.0,0,1,39237.0,99.99678084212638,9.115976880328008,286.0,627.0
2,1,1,3,495.0,550.0,0,1,849060.0,99.8276095224936,9.963933026608135,95.18954248366013,454.81045751633985
2,1,1,3,495.0,550.0,0,2,960596.0,99.5701051046458,9.963487198878092,76.38005390835579,473.6199460916442
2,1,1,3,495.0,550.0,0,3,22623.0,86.62672440192891,9.940159903069544,91.63636363636364,458.3636363636364
2,1,1,3,495.0,550.0,1,1,198010.0,99.91754913971909,9.969991869083731,307.0074074074074,242.9925925925926
2,1,1,3,495.0,550.0,1,2,162812.0,99.88837597860024,9.95794326620974,274.40406976744185,275.59593023255815
2,1,1,3,495.0,550.0,1,3,7443.0,94.409559063059,7.426802468871961,283.88235294117646,266.11764705882354
3,1,1,3,495.0,550.0,0,1,8184.0,90.79623896881608,8.338065572174578,440.625,109.375
3,2,1,2,478.0,542.0,0,1,844466.0,99.95888106866556,9.989372019508105,84.75625,457.24375
3,2,1,2,478.0,542.0,0,2,820750.0,99.77653608054248,9.98338256813341,72.98427672955975,469.0157232704403
3,2,1,2,478.0,542.0,0,3,33594.0,96.0741081997823,9.186482361924783,86.07692307692308,455.9230769230769
3,2,1,2,478.0,542.0,1,1,205709.0,99.92433656056436,9.965581222280973,295.5215189873418,246.47848101265822
3,2,1,2,478.0,542.0,1,2,212287.0,99.79593343008266,9.992392838947474,327.2506329113924,214.74936708860758
3,2,1,2,478.0,542.0,1,3,7606.0,90.19445790555017,8.461539429266994,267.06666666666666,274.93333333333334
4,2,1,2,478.0,542.0,0,1,35048.0,98.00683460488928,8.497691338149949,327.0,215.0
4,3,0,7,373.0,637.0,0,1,1022032.0,99.38332783987234,9.879715894687136,80.93162393162393,556.0683760683761
4,3,0,7,373.0,637.0,0,2,927192.0,99.98082400293444,9.967176847909302,97.80909090909091,539.1909090909091
4,3,0,7,373.0,637.0,0,3,46328.0,85.12921270428431,9.688086811651871,118.2,518.8
4,3,0,7,373.0,637.0,1,1,198946.0,99.72489783961902,9.97780336347642,288.8698060941828,348.1301939058172
4,3,0,7,373.0,637.0,1,2,209861.0,99.4459510141726,9.993156204709768,312.656330749354,324.343669250646
4,3,0,7,373.0,637.0,1,3,6635.0,91.48714018472718,9.91273796201204,328.61538461538464,308.38461538461536
5,2,1,9,171.0,748.0,0,1,691412.0,99.5650834629046,9.985732753489456,94.56410256410257,653.4358974358975
5,2,1,9,171.0,748.0,0,2,850013.0,99.73708782984464,9.9709136235194,106.70446735395188,641.2955326460481
5,2,1,9,171.0,748.0,0,3,21937.0,87.38668068145263,9.249445636984143,133.75,614.25
5,2,1,9,171.0,748.0,1,1,280871.0,99.99130078163265,9.926448143177971,388.0468085106383,359.9531914893617
5,2,1,9,171.0,748.0,1,2,228878.0,99.98068591444672,9.99382527230486,400.83578431372547,347.16421568627453
5,2,1,9,171.0,748.0,1,3,9844.0,99.78691046123303,8.6938548856883,312.5263157894737,435.4736842105263
5,3,0,7,373.0,637.0,0,1,56608.0,90.60438370088168,9.798562813776416,239.375,397.625
5,3,0,7,373.0,637.0,0,2,53070.0,97.289153285865,9.04099627273302,439.26666666666665,197.73333333333332
5,3,0,7,373.0,637.0,0,3,3538.0,43.562968010707735,7.344393630212478,543.0,94.0
6,2,1,7,281.0,707.0,0,1,912315.0,99.84734652424495,9.997793384692422,96.58466453674122,610.4153354632588
6,2,1,7,281.0,707.0,0,2,920074.0,99.55172011843035,9.98164880237652,72.73776223776224,634.2622377622378
6,2,1,7,281.0,707.0,0,3,46310.0,95.93152694658752,9.928967839614714,81.85714285714286,625.1428571428571
6,2,1,7,281.0,707.0,1,1,193710.0,99.90180227651572,9.99786186507962,354.3040201005025,352.6959798994975
6,2,1,7,281.0,707.0,1,2,199866.0,99.90104365186866,9.999631906172514,337.26869158878503,369.73130841121497
6,2,1,7,281.0,707.0,1,3,5111.0,96.57439226960948,8.811727943128863,381.92857142857144,325.07142857142856
6,2,1,9,171.0,748.0,1,1,1936.0,89.98700321136346,9.988079990745735,122.54545454545455,625.4545454545455
7,1,3,0,310.0,971.0,0,1,1114513.0,99.97322023231423,9.95807168861458,117.21428571428571,853.7857142857143
7,1,3,0,310.0,971.0,0,2,1201309.0,99.57878544965789,9.933939167701102,107.10309278350516,863.8969072164948
7,1,3,0,310.0,971.0,0,3,51566.0,95.71759006405492,9.751127217462782,88.94117647058823,882.0588235294117
7,1,3,0,310.0,971.0,1,1,178337.0,99.2079436479713,9.980783893602952,471.5168195718654,499.4831804281346
7,1,3,0,310.0,971.0,1,2,190986.0,99.4811848243957,9.99225578436224,508.77672955974845,462.22327044025155
7,1,3,0,310.0,971.0,1,3,5423.0,87.07888087953951,8.94622306489627,409.45454545454544,561.5454545454545
7,2,1,7,281.0,707.0,0,1,40800.0,95.53176667848076,8.682696137353492,210.86666666666667,496.1333333333333
7,2,1,7,281.0,707.0,0,2,19040.0,94.245129555179,9.444432572825566,333.42857142857144,373.57142857142856
8,1,3,0,310.0,971.0,0,1,27816.0,90.8715248903836,9.843423211694612,762.8333333333334,208.16666666666666
8,3,1,1,300.0,579.0,0,1,809106.0,99.89588004745669,9.984144092045618,64.63636363636364,514.3636363636364
8,3,1,1,300.0,579.0,0,2,676088.0,99.4808965197848,9.98405763130223,81.80161943319838,497.19838056680163
8,3,1,1,300.0,579.0,0,3,18819.0,98.2976272920311,9.026448659559632,74.57142857142857,504.42857142857144
8,3,1,1,300.0,579.0,1,1,241937.0,99.91387103448471,9.949036651678046,308.6617647058824,270.3382352941176
8,3,1,1,300.0,579.0,1,2,287347.0,99.54489065725288,9.958936647938788,320.7264957264957,258.2735042735043
8,3,1,1,300.0,579.0,1,3,13475.0,93.71492430615528,9.805751742326253,353.6666666666667,225.33333333333334
9,0,2,4,494.0,682.0,0,1,1268541.0,99.33244269488146,9.998134737722724,109.76958525345623,572.2304147465438
9,0,2,4,494.0,682.0,0,2,932095.0,99.97400961831966,9.993167257212509,93.52212389380531,588.4778761061947
9,0,2,4,494.0,682.0,0,3,48093.0,88.23453259251131,9.43752136484799,92.6470588235294,589.3529411764706
9,0,2,4,494.0,682.0,1,1,154645.0,99.56109345095072,9.997107169831915,325.86062717770034,356.13937282229966
9,0,2,4,494.0,682.0,1,2,221825.0,99.76614454884546,9.99732063317014,330.0,352.0
9,0,2,4,494.0,682.0,1,3,5460.0,95.55445824045913,9.917981989633164,364.09090909090907,317.90909090909093
10,0,2,4,494.0,682.0,0,1,22776.0,75.14760407330257,9.702677319032636,687.1666666666666,-5.166666666666667
