weight_0,threshold,accuracy,f1_macro,f1_weighted,precision_0,recall_0,precision_1,recall_1
1,0.05,0.8055555555555556,0.4461538461538462,0.7188034188034188,0.0,0.0,0.8055555555555556,1.0
1,0.1,0.8090277777777778,0.46455734712503804,0.7270110085747445,1.0,0.017857142857142856,0.8083623693379791,1.0
1,0.15000000000000002,0.8090277777777778,0.48070681572304363,0.733040830227992,0.6666666666666666,0.03571428571428571,0.8105263157894737,0.9956896551724138
1,0.2,0.8020833333333334,0.49206349206349204,0.7345679012345678,0.42857142857142855,0.05357142857142857,0.8113879003558719,0.9827586206896551
1,0.25,0.8090277777777778,0.5472086441986108,0.7576203679882609,0.5384615384615384,0.125,0.8218181818181818,0.9741379310344828
1,0.3,0.8125,0.5813502745773662,0.7714547216539248,0.5555555555555556,0.17857142857142858,0.8296296296296296,0.9655172413793104
1,0.35000000000000003,0.7986111111111112,0.6036070242050309,0.7735115751727047,0.4666666666666667,0.25,0.8372093023255814,0.9310344827586207
1,0.4,0.78125,0.6029324871430135,0.7655432760695918,0.41025641025641024,0.2857142857142857,0.8393574297188755,0.9008620689655172
1,0.45,0.7881944444444444,0.6548729937331788,0.7859600067230266,0.4528301886792453,0.42857142857142855,0.8638297872340426,0.875
1,0.5,0.7916666666666666,0.6761619190404797,0.7943528235882059,0.4666666666666667,0.5,0.8771929824561403,0.8620689655172413
1,0.55,0.78125,0.6781552106430155,0.7894722838137472,0.4492753623188406,0.5535714285714286,0.8858447488584474,0.8362068965517241
1,0.6000000000000001,0.7673611111111112,0.6758881330309902,0.7811119509532207,0.43037974683544306,0.6071428571428571,0.8947368421052632,0.8060344827586207
1,0.6500000000000001,0.7638888888888888,0.6759976176295415,0.7791233759071758,0.4268292682926829,0.625,0.8980582524271845,0.7974137931034483
1,0.7000000000000001,0.7638888888888888,0.6935211267605634,0.783265519040167,0.43617021276595747,0.7321428571428571,0.9226804123711341,0.771551724137931
1,0.7500000000000001,0.7604166666666666,0.6954716113707762,0.7814139401833831,0.43434343434343436,0.7678571428571429,0.9312169312169312,0.7586206896551724
1,0.8,0.7430555555555556,0.6822329575952764,0.7671915071270949,0.41509433962264153,0.7857142857142857,0.9340659340659341,0.7327586206896551
1,0.8500000000000001,0.7430555555555556,0.6953165208440555,0.7690188902232133,0.423728813559322,0.8928571428571429,0.9647058823529412,0.7068965517241379
1,0.9000000000000001,0.71875,0.6756350894756601,0.747903891878363,0.4015748031496063,0.9107142857142857,0.968944099378882,0.6724137931034483
1,0.9500000000000001,0.6944444444444444,0.6597207303974221,0.7261487050960735,0.38571428571428573,0.9642857142857143,0.9864864864864865,0.6293103448275862
2,0.05,0.8055555555555556,0.4461538461538462,0.7188034188034188,0.0,0.0,0.8055555555555556,1.0
2,0.1,0.8090277777777778,0.46455734712503804,0.7270110085747445,1.0,0.017857142857142856,0.8083623693379791,1.0
2,0.15000000000000002,0.8125,0.48235920649713754,0.7349886832645454,1.0,0.03571428571428571,0.8111888111888111,1.0
